Company,Location,JobUrl,Job title
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=972abebfe2ac06dc&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Thermo Fisher Scientific,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=98e1608904f50e0e&fccid=126e3afd205caa95&vjs=3,Data Analyst
ION,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=42f1109abd98a2f1&fccid=363d27976f5fa667&vjs=3,Data Analyst
Accenture,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7499a2e6f9d3dc79&fccid=a4e4e2eaf26690c9&vjs=3,Data Analyst
Priceline.com,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=a672cec5f2297416&fccid=e3c82d82eecba317&vjs=3,Data Analyst
Astreya,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2bf6da13d4e6fbf9&fccid=f7fcb231ff95ee5c&vjs=3,Data Analyst
Kroll,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=ec8fb42626d31c2f&fccid=2991547aff717aed&vjs=3,Data Analyst
Dun & Bradstreet,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=217f57cdd0f12078&fccid=fa0ca3b638673d62&vjs=3,Data Analyst
Acumen HR,"Mumbai, Maharashtra",https://in.indeed.com/company/Acumen-HR/jobs/Data-Visualization-5387a6c3d0fcd8cc?fccid=59079079355d5ec3&vjs=3,Data Analyst
Gemini Exports,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2ea714d27d301f7c&fccid=fd043b3cc3e559d3&vjs=3,Data Analyst
General Mills,"Remote in Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=0cb89a45d10aa81b&fccid=3bcf7eb192e678e4&vjs=3,Data Analyst
L'Oreal,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=d0e6bb6d3bb07c07&fccid=ec8a0bd60be9a6f5&vjs=3,Data Analyst
ROCHEM Separation Systems,"Unknown, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=16015009981da2a9&fccid=b272bdab8a88eb0d&vjs=3,Data Analyst
Rubiza Business World,"Thane, Maharashtra",https://in.indeed.com/company/Rubiza-Business-World/jobs/Data-Analyst-3447caf21e8156db?fccid=4418b592160b4741&vjs=3,Data Analyst
NAILBITER,"Hybrid remote in Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=5f252658ada5b0ca&fccid=de9cd1d2754dfa75&vjs=3,Data Analyst
FedEx Express MEISA,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=e1fbff91d65f2ed6&fccid=5c439b65a0bd045b&vjs=3,Data Analyst
Haven Infoline Pvt Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Lockated/jobs/Bi-Analyst-dfaa1ddbd715b9a6?fccid=c3a00d0fffc79318&vjs=3,Data Analyst
Viral Fission,"Vile Parle, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bb795f58b71aa036&fccid=dab46176c0462c82&vjs=3,Data Analyst
Dow,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=26da8a34acd1c2c5&fccid=b3a3d9b7840e20cb&vjs=3,Data Analyst
Global Vox Populi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=0fe2315b90a0a7f3&fccid=14d12a8eaf9dea1f&vjs=3,Data Analyst
FENG GROUP,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=803d244f1cb91523&fccid=dd616958bd9ddc12&vjs=3,Data Analyst
Scikey,"Remote in Mumbai, Maharashtra",https://in.indeed.com/company/SCIKEY/jobs/Senior-Data-Analyst-Data-Scientist-ec2c4d25a087d69f?fccid=7ad36117cddb7438&vjs=3,Data Analyst
Busisol Sourcing,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=70b3a85a43fb9164&fccid=4fd83253433e0d24&vjs=3,Data Analyst
Citi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=9840eb2290e6fdd7&fccid=5bcd1ef0a7f4fb99&vjs=3,Data Analyst
GXO Logistics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=b77122b039a94dfe&fccid=66530c16c7ccb793&vjs=3,Data Analyst
Accenture,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=e2d6c5656618fca0&fccid=a4e4e2eaf26690c9&vjs=3,Data Analyst
Stock Axis,"Cuffe Parade, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c00d7f0fb0a9ede1&fccid=fb9894e059ec14cf&vjs=3,Data Analyst
Design Cafe,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2d69866acb05988c&fccid=9f954447a21150a6&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=bea4b451291d9b93&fccid=aaf3b433897ea465&vjs=3,Data Analyst
ION,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2540119dbbf921c8&fccid=363d27976f5fa667&vjs=3,Data Analyst
Transorg Analytics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=aecf1a103cea7549&fccid=19210c040f6d1cde&vjs=3,Data Analyst
Cacti Global,"Remote in Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7472845af846e2a2&fccid=26d3a589aada9dc8&vjs=3,Data Analyst
WRI India,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=9dfb216af07f4f2d&fccid=1935823aa32012fa&vjs=3,Data Analyst
MSCI Inc,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8a46ffca92483199&fccid=c1f583e22ebf0f6e&vjs=3,Data Analyst
General Mills,"Remote in Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=f2a111b30625c540&fccid=3bcf7eb192e678e4&vjs=3,Data Analyst
Nexdigm,"Mahalaxmi, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=6829db2e1e09432a&fccid=f76477e2de258fd7&vjs=3,Data Analyst
Swift Information Technologies Pvt. Ltd.,"Navi Mumbai, Maharashtra",https://in.indeed.com/company/Swift-Information-Technologies-Pvt.-Ltd./jobs/Data-Analyst-29c2791d73a9b2ab?fccid=2c3381066653d7bb&vjs=3,Data Analyst
Client of The Crew People,"Mumbai, Maharashtra",https://in.indeed.com/company/Argyle-HR-Solutions-Private-Limited/jobs/Data-Analyst-53aaab595963886c?fccid=c989c2fa86bbe30f&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=cf8eac465b5fca57&fccid=aaf3b433897ea465&vjs=3,Data Analyst
WHITE FORCE OUTSOURCING SERVICES PRIVATE LIMITED,"Mumbai, Maharashtra+1 location",https://in.indeed.com/rc/clk?jk=0003d8aa229ee295&fccid=22cd73a639fefc9e&vjs=3,Data Analyst
FENG GROUP,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7676649c48e57878&fccid=dd616958bd9ddc12&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=3bdb0242a3ab845f&fccid=aaf3b433897ea465&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=9dcd260a5b1d45d1&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Engineer & Mehta,"Mumbai, Maharashtra",https://in.indeed.com/company/Engineer-&-Mehta/jobs/Investment-Team-Support-Analyst-d8a36f9e83a036da?fccid=f1903e125ebf3e81&vjs=3,Data Analyst
MasterCard,"Hybrid remote in Navi Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=a704529bbcb1cc52&fccid=10b5c722d846df43&vjs=3,Data Analyst
Crédit Agricole CIB,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=3b1151ed5a502fdc&fccid=7077ed64aecd53a3&vjs=3,Data Analyst
Citi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=eecf9b73f3de1ab9&fccid=5bcd1ef0a7f4fb99&vjs=3,Data Analyst
Sony Pictures Networks,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=46565fe67a665f5d&fccid=87296c430fc584e1&vjs=3,Data Analyst
Social Wavelength,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2f0a61f86290295e&fccid=7b868e6cf206beb6&vjs=3,Data Analyst
